"Pop2EduF"	"LabFperM"	"ExpEdu"	"LifeExp"	"GNI"	"MatMort"	"AdolBirth"	"PercInParl"
"Norway"	97.4	0.890829694323144	17.5	81.6	64992	4	7.8	39.6
"Australia"	94.3	0.818941504178273	20.2	82.4	42261	6	12.1	30.5
"Switzerland"	95	0.825100133511348	15.8	83	56431	6	1.9	28.5
"Denmark"	95.5	0.884036144578313	18.7	80.2	44025	5	5.1	38
"Netherlands"	87.7	0.828611898016997	17.9	81.6	45435	6	6.2	36.9
"Germany"	96.3	0.807228915662651	16.5	80.9	43919	7	3.8	36.9
"Ireland"	80.5	0.779735682819383	18.6	80.9	39568	9	8.2	19.9
"United States"	95.1	0.817126269956459	16.5	79.1	52947	28	31	19.4
"Canada"	100	0.867605633802817	15.9	82	42155	11	14.5	28.2
"New Zealand"	95	0.840108401084011	19.2	81.8	32689	8	25.3	31.4
"Singapore"	74.1	0.761658031088083	15.4	83	76628	6	6	25.3
"Sweden"	86.5	0.888070692194403	15.8	82.2	45636	4	6.5	43.6
"United Kingdom"	99.8	0.810771470160116	16.2	80.7	39267	8	25.8	23.5
"Iceland"	91	0.910852713178295	19	82.6	35182	4	11.5	41.3
"Korea (Republic of)"	77	0.694868238557559	16.9	81.9	33890	27	2.2	16.3
"Israel"	84.4	0.837916063675832	16	82.4	30676	2	7.8	22.5
"Luxembourg"	100	0.784829721362229	13.9	81.7	58711	11	8.3	28.3
"Japan"	87	0.693181818181818	15.3	83.5	36927	6	5.4	11.6
"Belgium"	77.5	0.801011804384486	16.3	80.8	41187	6	6.7	42.4
"France"	78	0.823051948051948	16	82.2	38056	12	5.7	25.7
"Austria"	100	0.806499261447563	15.7	81.4	43869	4	4.1	30.3
"Finland"	100	0.8703125	17.1	80.8	38695	4	9.2	42.5
"Slovenia"	95.8	0.82753164556962	16.8	80.4	27852	7	0.6	27.7
"Spain"	66.8	0.797872340425532	17.3	82.6	32045	4	10.6	38
"Italy"	71.2	0.665546218487395	16	83.1	33030	4	4	30.1
"Czech Republic"	99.9	0.748169838945827	16.4	78.6	26660	5	4.9	18.9
"Greece"	59.5	0.7072	17.6	80.9	24524	5	11.9	21
"Estonia"	100	0.815674891146589	16.5	76.8	25214	11	16.8	19.8
"Cyprus"	76	0.787623066104079	14	80.2	28633	10	5.5	12.5
"Qatar"	66.7	0.531937172774869	13.8	78.2	123124	6	9.5	0
"Slovakia"	99.1	0.744897959183674	15.1	76.3	25845	7	15.9	18.7
"Poland"	79.4	0.75346687211094	15.5	77.4	23177	3	12.2	22.1
"Lithuania"	89.1	0.829123328380386	16.4	73.3	24500	11	10.6	23.4
"Malta"	68.6	0.571644042232277	14.4	80.6	27930	9	18.2	13
"Saudi Arabia"	60.5	0.257982120051086	16.3	74.3	52821	16	10.2	19.9
"Argentina"	56.3	0.633333333333333	17.9	76.3	22050	69	54.4	36.8
"United Arab Emirates"	73.1	0.505434782608696	13.3	77	60868	8	27.6	17.5
"Chile"	73.3	0.657754010695187	15.2	81.7	21290	22	55.3	15.8
"Portugal"	47.7	0.829305135951662	16.3	80.9	25757	8	12.6	31.3
"Hungary"	97.9	0.746666666666667	15.4	75.2	22916	14	12.1	10.1
"Bahrain"	56.7	0.451093210586881	14.4	76.6	38599	22	13.8	15
"Latvia"	98.9	0.812130177514793	15.2	74.2	22281	13	13.5	18
"Croatia"	85	0.76541095890411	14.8	77.3	19409	13	12.7	25.8
"Kuwait"	55.6	0.524669073405536	14.7	74.4	83961	14	14.5	1.5
"Montenegro"	84.2	0.75043630017452	15.2	76.2	14558	7	15.2	17.3
"Belarus"	87	0.793977812995246	15.7	71.3	16676	1	20.6	30.1
"Russian Federation"	89.6	0.796373779637378	14.7	70.1	22352	24	25.7	14.5
"Oman"	47.2	0.351089588377724	13.6	76.8	34858	11	10.6	9.6
"Romania"	86.1	0.750385208012327	14.2	74.7	18108	33	31	12
"Uruguay"	54.4	0.723958333333333	15.5	77.2	19283	14	58.3	11.5
"Bahamas"	91.2	0.873896595208071	12.6	75.4	21336	37	28.5	16.7
